epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,16555.3,0.96946,2.19806,1.53853,0.52973,0.565,0.56276,0.42593,1.12644,2.08384,1.2803,0.000551584,0.000551584,0.000551584
143,16671.3,0.97132,2.19915,1.53838,0.52741,0.57028,0.56342,0.42685,1.1254,2.08105,1.27923,0.000546421,0.000546421,0.000546421
144,16787.6,0.9623,2.19775,1.53104,0.52677,0.57086,0.56275,0.4266,1.12536,2.0788,1.27899,0.000541253,0.000541253,0.000541253
145,16904.2,0.96183,2.16235,1.52999,0.52746,0.57172,0.56372,0.42737,1.12505,2.07704,1.2789,0.000536081,0.000536081,0.000536081
146,17020,0.96061,2.16123,1.5301,0.52761,0.57272,0.56428,0.4281,1.12459,2.07484,1.27872,0.000530906,0.000530906,0.000530906
147,17136.2,0.96876,2.18597,1.53232,0.52915,0.5743,0.56476,0.42833,1.12412,2.07276,1.27854,0.000525728,0.000525728,0.000525728
148,17252.5,0.96678,2.16115,1.53024,0.52948,0.57494,0.56516,0.42861,1.12353,2.07023,1.27836,0.000520548,0.000520548,0.000520548
149,17368.6,0.96444,2.15556,1.52874,0.52866,0.57621,0.56584,0.42929,1.12318,2.06849,1.27789,0.000515366,0.000515366,0.000515366
150,17484.3,0.96471,2.16956,1.53076,0.52999,0.57602,0.56669,0.43008,1.1229,2.06659,1.27769,0.000510184,0.000510184,0.000510184
151,17599.7,0.96421,2.16547,1.52925,0.52934,0.57738,0.56684,0.42987,1.12237,2.06518,1.2771,0.000505,0.000505,0.000505
152,17716,0.96126,2.15829,1.52695,0.52997,0.57861,0.568,0.43083,1.12173,2.06353,1.27657,0.000499816,0.000499816,0.000499816
153,17831.8,0.96852,2.16069,1.53347,0.53028,0.57848,0.56826,0.4313,1.12117,2.06115,1.27602,0.000494634,0.000494634,0.000494634
154,17947.4,0.95805,2.15261,1.52893,0.53128,0.5782,0.56779,0.43068,1.12066,2.05985,1.27553,0.000489452,0.000489452,0.000489452
155,18064.6,0.95511,2.14606,1.52325,0.53241,0.57795,0.56839,0.43108,1.12007,2.05928,1.27475,0.000484272,0.000484272,0.000484272
156,18179.3,0.95756,2.13015,1.52562,0.53182,0.58035,0.56885,0.43155,1.11954,2.05767,1.27422,0.000479094,0.000479094,0.000479094
157,18294.6,0.9563,2.14166,1.52458,0.52996,0.58029,0.56865,0.43133,1.11904,2.05642,1.27332,0.000473919,0.000473919,0.000473919
158,18410.8,0.96201,2.13058,1.52675,0.53383,0.57835,0.5692,0.43151,1.11879,2.05482,1.27282,0.000468747,0.000468747,0.000468747
159,18526.3,0.9584,2.12488,1.52318,0.529,0.58448,0.56936,0.43179,1.11876,2.05334,1.27228,0.000463579,0.000463579,0.000463579
160,18641.4,0.95305,2.1396,1.52344,0.5292,0.58572,0.56905,0.43215,1.11825,2.05241,1.27154,0.000458416,0.000458416,0.000458416
161,18757.4,0.95434,2.12844,1.52263,0.52918,0.58738,0.57047,0.43324,1.11781,2.05168,1.27101,0.000453258,0.000453258,0.000453258
162,18873.5,0.95552,2.11317,1.52354,0.52825,0.5872,0.57006,0.43308,1.1178,2.05098,1.27137,0.000448106,0.000448106,0.000448106
163,18988.4,0.94944,2.0997,1.51869,0.528,0.58679,0.57088,0.43402,1.11773,2.04949,1.27117,0.00044296,0.00044296,0.00044296
164,19103.5,0.95047,2.10225,1.51784,0.52828,0.58896,0.57178,0.43475,1.11702,2.04807,1.27028,0.000437821,0.000437821,0.000437821
165,19220.1,0.95068,2.08148,1.51526,0.52695,0.58922,0.57136,0.43429,1.11666,2.04808,1.26981,0.000432689,0.000432689,0.000432689
166,19336.1,0.94699,2.1033,1.51583,0.52563,0.58995,0.57117,0.43397,1.1159,2.04657,1.26895,0.000427565,0.000427565,0.000427565
167,19451.8,0.95346,2.09991,1.52172,0.52629,0.58876,0.57154,0.43418,1.11564,2.04523,1.26817,0.000422449,0.000422449,0.000422449
168,19567,0.95221,2.09589,1.52029,0.52705,0.58967,0.5723,0.43457,1.11581,2.04542,1.26824,0.000417343,0.000417343,0.000417343
169,19682.3,0.94917,2.08743,1.51678,0.52711,0.5899,0.57239,0.43421,1.11546,2.04444,1.26758,0.000412246,0.000412246,0.000412246
170,19797.8,0.94506,2.07206,1.50986,0.52741,0.58987,0.57178,0.43464,1.11522,2.04313,1.26753,0.00040716,0.00040716,0.00040716
171,19914.2,0.94622,2.08596,1.51667,0.52682,0.58943,0.57175,0.43457,1.11464,2.04244,1.26671,0.000402084,0.000402084,0.000402084
172,20030.7,0.94816,2.08184,1.51647,0.52638,0.58994,0.57181,0.43483,1.11434,2.04086,1.26632,0.000397019,0.000397019,0.000397019
173,20145.4,0.94586,2.07511,1.51458,0.5265,0.59115,0.57214,0.43493,1.1141,2.03877,1.26559,0.000391966,0.000391966,0.000391966
174,20261,0.94305,2.07116,1.51402,0.52618,0.59007,0.5713,0.43451,1.11394,2.03795,1.2655,0.000386926,0.000386926,0.000386926
175,20375.9,0.94942,2.07185,1.51674,0.52461,0.58971,0.57077,0.43408,1.11373,2.03741,1.26518,0.000381899,0.000381899,0.000381899
176,20490.8,0.9452,2.05962,1.51351,0.52475,0.59094,0.57173,0.43466,1.11363,2.03587,1.26481,0.000376885,0.000376885,0.000376885
177,20606.2,0.94329,2.03515,1.50978,0.52445,0.59153,0.57213,0.43516,1.1132,2.03423,1.26447,0.000371885,0.000371885,0.000371885
178,20721.4,0.93958,2.04573,1.51194,0.52603,0.59183,0.57254,0.43514,1.11274,2.03249,1.26356,0.000366899,0.000366899,0.000366899
179,20836.3,0.94392,2.04589,1.51406,0.52595,0.59288,0.57274,0.43531,1.11279,2.03102,1.2636,0.000361929,0.000361929,0.000361929
180,20950.9,0.9425,2.04461,1.5118,0.52857,0.58902,0.57321,0.43612,1.11252,2.03017,1.26311,0.000356975,0.000356975,0.000356975
181,21066,0.94188,2.04013,1.50946,0.52889,0.58963,0.57347,0.43653,1.1124,2.02863,1.2628,0.000352037,0.000352037,0.000352037
